ic,rank_ic,directional_accuracy,top_decile_return,sharpe,model_name,test_year,n_obs
0.0026643771351759,0.0026643771351759,0.4997772828507795,0.0004290245345534,0.0741827745764365,Ridge (linear baseline),2021,24695
0.0010749453562611,0.0010749453562611,0.5059934616781693,0.002102774199604,0.2773981336448116,Ridge (linear baseline),2022,24777
0.0178370732113242,0.0178370732113242,0.49816154188048,0.0042104319921857,0.7953067608399589,Ridge (linear baseline),2023,24749
0.0193261127064787,0.0193261127064787,0.5046809559004681,0.000576789996097,0.0832476840249639,Ridge (linear baseline),2024,24354
-0.0125251285859759,-0.0125251285859759,0.4942700951609637,-0.0004760396774296,-0.0796238087644234,XGBoost,2021,24695
0.005225081247168,0.005225081247168,0.5007870202203657,0.0050236466647214,0.6916665669060451,XGBoost,2022,24777
-0.0164390166232299,-0.0164390166232299,0.4864034910501434,0.0004822528356617,0.1041850222274379,XGBoost,2023,24749
0.012975159293825,0.012975159293825,0.5022994169335633,0.0015131588943731,0.2268748104993087,XGBoost,2024,24354
-0.0005641552138847,-0.0005641552138847,0.4981980157926706,0.0005802432008063,0.1046578864130686,Random Forest,2021,24695
-0.0046751225896054,-0.0046751225896054,0.5327521491706018,0.0046823452278206,0.6001182441977164,Random Forest,2022,24777
0.00987158320484,0.00987158320484,0.494565436987353,0.0056443319080505,1.0193772727498047,Random Forest,2023,24749
-0.0014325488153575,-0.0014325488153575,0.4835755933316908,0.0005079173536282,0.0780389780840479,Random Forest,2024,24354
-0.0092498646576573,-0.0092498646576573,0.4918809475602348,0.0005277912784987,0.0868560026506111,LightGBM,2021,24695
-0.003956708567887,-0.003956708567887,0.4961052589094725,0.0055496472511605,0.7293278525626727,LightGBM,2022,24777
-0.0093022051058494,-0.0093022051058494,0.4964645036163077,-0.0008354186912206,-0.1888566133261085,LightGBM,2023,24749
0.0017815190678386,0.0017815190678386,0.4939229695327256,0.0004165022913285,0.0648824645771603,LightGBM,2024,24354
